"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,31134,230,9901233,170617,8272,86,0
192.168.10.120,0,0,0,0,0,0,77002,1388,11534859,198785,8531,86,0
192.168.10.122,0,0,0,0,0,0,83340,1504,8820077,151978,5637,86,0
192.168.10.126,0,0,0,0,0,0,31848,234,7557091,130203,4485,86,0
192.168.10.137,0,0,0,0,0,0,79976,1427,7697239,132619,4471,87,0
192.168.10.140,0,0,0,0,0,0,31246,231,9679167,166788,6914,87,0
192.168.10.152,0,0,0,0,0,0,79398,1435,7246247,124843,3987,87,0
192.168.10.155,0,0,0,0,0,0,86500,1576,7119029,122650,4786,87,0
192.168.10.161,0,0,0,0,0,0,84890,1563,8958217,154360,4453,87,0
192.168.10.168,0,0,0,0,0,0,75254,1334,7877279,135723,5109,87,0
192.168.10.190,0,0,0,0,0,0,30798,227,6592587,113573,3538,86,0
192.168.10.217,0,0,0,0,0,0,31834,236,16260535,280260,9986,86,0
192.168.10.229,0,0,0,0,0,0,76230,1344,13261925,228562,8657,86,0
192.168.10.247,0,0,0,0,0,0,35194,262,7530729,129748,4522,86,0
localhost,565,192,2471,4,851,0,259346,961,6319663,79751,187,0,3039
control,849,294,1177,7,370,0,0,0,0,0,0,0,0
