"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,52639,331,18372425,13076,0,130,0
192.168.10.120,0,0,53532,335,28636211,20355,1,130,0
192.168.10.121,0,0,50907,321,22927621,16298,0,130,0
192.168.10.122,0,0,53291,338,14071323,10036,0,131,0
192.168.10.126,0,0,34395,223,9002769,6444,1,84,0
192.168.10.128,0,0,53596,338,1421481,1082,0,131,0
192.168.10.137,0,0,55645,354,6108027,4405,2,130,0
192.168.10.138,0,0,55607,348,7074345,5090,3,132,0
192.168.10.140,0,0,54009,338,19385031,13803,0,130,0
192.168.10.152,0,0,53165,328,12915059,9213,0,131,0
192.168.10.155,0,0,54095,335,13380253,9538,2,130,0
192.168.10.158,0,0,49439,309,1048041,805,2,131,0
192.168.10.168,0,0,58788,379,10449897,7508,1,147,0
192.168.10.190,0,0,52837,336,15638015,11147,1,130,0
192.168.10.217,0,0,52432,326,12461551,8889,0,130,0
192.168.10.226,0,0,52761,333,15946129,11358,0,131,0
192.168.10.229,0,0,50879,323,18986279,13509,0,131,0
192.168.10.247,0,0,53344,334,577559,475,0,129,0
192.168.10.248,0,0,54161,332,11047903,7890,3,130,0
localhost,461,257,517755,3133,164428168,117460,0,0,1185
