"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,122,99,2047,3,0,0,320628,1310,467008452,4405459,9951,0
control,122,100,106,0,0,0,0,0,0,0,0,0
