"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.126,0,0,0,0,0,0,29632,196,30226933,521058,16748,74,0
192.168.10.152,0,0,0,0,0,0,73196,1270,34207483,589691,21469,74,0
192.168.10.158,0,0,0,0,0,0,29794,196,28846127,497255,17590,74,0
192.168.10.247,0,0,0,0,0,0,30382,202,30890003,532491,18877,74,0
localhost,657,112,10375,1,0,0,245311,675,11190692,143336,988,0,17552
control,1306,981,3489,15,0,0,0,0,0,0,0,0,0
