"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,382,336,20658,8,0,0,279664,578,127225042,1697638,93152,2855
control,638,224,1819,1,0,0,0,0,0,0,0,0
