name,time,Capabilities,IfRepeater,RSSI,RX-Errors,RX-KBytes,RX-Packets,RX-Phyrate,RX_bitRate,State,TX-Errors,TX-KBytes,TX-Packets,TX-Phyrate,TX_bitRate,apmac,deviceaddress,interface
ap-station_last4,2019-05-02T00:02:16+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-53,0,59,550,585,22.4,14,0,979,1316,780,52.2667,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:02:16+02:00," N 1X1 SGI20 SGI40",0,-53,0,33,374,150,0,14,0,1151,1835,150,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:02:46+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,145,848,351,383.467,14,0,842,2079,433,274.133,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:02:46+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,630,4553,293,372.267,14,0,8422,8049,293,441.6,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:02:46+02:00," N 1X1 SGI20 SGI40",0,-52,0,35,387,150,759.467,14,0,1157,1851,150,404.267,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:03:01+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,145,849,351,24.5333,14,0,847,2090,433,2800.53,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:03:01+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,632,4559,293,1120.53,14,0,8429,8064,293,3773.33,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:03:01+02:00," N 1X1 SGI20 SGI40",0,-51,0,35,387,150,0,14,0,1162,1862,150,2800.53,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:03:31+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-62,0,145,849,351,0,14,0,852,2101,433,2763.2,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:03:31+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,633,4566,351,156.8,14,0,8434,8079,293,2923.2,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:03:31+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,59,550,585,0,14,0,994,1348,780,2714.13,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:03:31+02:00," N 1X1 SGI20 SGI40",0,-52,0,35,388,150,22.4,14,0,1168,1874,150,2808,A491B16F74AD,DEF3,ap1
