"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,31006,197,5067141,81644,0,83,0
192.168.10.120,0,0,32848,212,6286177,101300,0,83,0
192.168.10.121,0,0,32099,200,7469029,120382,0,83,0
192.168.10.122,0,0,32778,208,5428233,87464,0,84,0
192.168.10.126,0,0,31796,203,5374249,86592,0,83,0
192.168.10.137,0,0,31790,201,4928561,79404,0,82,0
192.168.10.138,0,0,33245,215,5447477,87774,0,85,0
192.168.10.140,0,0,32154,203,8781645,141550,0,82,0
192.168.10.152,0,0,31508,201,4777777,76972,0,83,0
192.168.10.155,0,0,32204,207,7001873,112844,0,84,0
192.168.10.158,0,0,31464,202,5435867,87589,0,84,0
192.168.10.161,0,0,31469,200,5266307,84855,0,82,0
192.168.10.168,0,0,31494,203,5606887,90342,0,83,0
192.168.10.190,0,0,31700,201,6224115,100299,0,82,0
192.168.10.217,0,0,30430,194,5438629,87634,0,83,0
192.168.10.226,0,0,31461,198,5657585,91167,0,82,0
192.168.10.229,0,0,31560,202,5026109,80980,0,83,0
192.168.10.247,0,0,32700,212,5242049,84460,0,84,0
192.168.10.248,0,0,31534,201,5889707,94907,0,84,0
localhost,212,143,528804,2793,48127621,584735,0,0,4719
