"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,-551715,-3580,-180570491,-349858,-1,-1064,0
192.168.10.120,0,0,0,0,0,0,-236046,-1675,-92585587,2487,0,-512,0
192.168.10.121,0,0,0,0,0,0,-238793,-1637,-81774041,31993,1,-444,0
192.168.10.126,0,0,0,0,0,0,-238522,-1678,-47115027,-5031,-2,-511,0
192.168.10.128,0,0,0,0,0,0,-246036,-1693,-107260605,-11791,0,-509,0
192.168.10.137,0,0,0,0,0,0,-2298953,-14621,-315217403,-1793429,-9,-5823,0
192.168.10.138,0,0,0,0,0,0,-277796,-1834,-98895562,-23648,-1,-462,0
192.168.10.140,0,0,0,0,0,0,-241973,-1675,-108688446,34082,0,-492,0
192.168.10.152,0,0,0,0,0,0,-243131,-1703,-46126343,-8540,-1,-521,0
192.168.10.155,0,0,0,0,0,0,-547556,-3659,-215664145,-496210,0,-1159,0
192.168.10.158,0,0,0,0,0,0,22010,154,5308688,96419,0,85,0
192.168.10.161,0,0,0,0,0,0,-266146,-1755,-82340050,-11636,-1,-453,0
192.168.10.168,0,0,0,0,0,0,-261096,-1781,-66421607,-24618,-2,-507,0
192.168.10.190,0,0,0,0,0,0,-540263,-3588,-186100127,-404448,-2,-1123,0
192.168.10.217,0,0,0,0,0,0,-243796,-1703,-140414616,-9680,0,-514,0
192.168.10.226,0,0,0,0,0,0,-271850,-1777,-121797843,-48348,1,-476,0
192.168.10.229,0,0,0,0,0,0,-1084067,-6900,-365385399,-802152,-2,-2299,0
192.168.10.247,0,0,0,0,0,0,-1033308,-6586,-272506397,-815895,0,-2292,0
192.168.10.248,0,0,0,0,0,0,-537094,-3564,-156977745,-390811,-1,-1113,0
localhost,199,143,4241,4,0,0,461962,1801,36090124,479227,2,0,4113
control,185,146,304,1,0,0,0,0,0,0,0,0,0
