"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,-16361553,-105789,-1001538649,-5548424,-123,-58463,0
192.168.10.120,0,0,42377,278,23295442,15949,0,80,0
192.168.10.121,0,0,-16115377,-104675,-1808235582,-6824421,-59,-58627,0
192.168.10.128,0,0,41967,274,15094902,10355,0,81,0
192.168.10.137,0,0,40781,262,20865210,14287,1,79,0
192.168.10.152,0,0,54631,369,7470134,5187,3,115,0
192.168.10.158,0,0,-16037681,-104220,-918709825,-3981467,-159,-58888,0
192.168.10.161,0,0,39227,252,23834078,16301,0,81,0
192.168.10.190,0,0,39023,254,22788108,15592,0,81,0
192.168.10.217,0,0,40041,258,23631548,16164,0,81,0
192.168.10.226,0,0,-15464222,-99951,-995843598,-4336402,-65,-58425,0
192.168.10.229,0,0,42372,280,31730939,21687,0,95,0
192.168.10.247,0,0,43477,289,25960788,17760,0,96,0
192.168.10.248,0,0,42172,272,18233732,12500,1,81,0
localhost,547,300,409991,2311,175200652,119743,0,0,1036
