"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,69803,457,16169553,11540,0,131,0
192.168.10.120,0,0,70521,466,19655329,14028,1,132,0
192.168.10.121,0,0,68081,446,29809167,21217,0,133,0
192.168.10.122,0,0,71189,465,2642425,1961,3,132,0
192.168.10.126,0,0,73271,474,2810269,2074,5,133,0
192.168.10.128,0,0,73329,478,3098665,2288,1,132,0
192.168.10.137,0,0,70313,465,14437519,10325,0,132,0
192.168.10.138,0,0,74301,480,950917,761,1,132,0
192.168.10.140,0,0,71729,472,7690173,5544,0,132,0
192.168.10.152,0,0,69909,459,16330979,11660,0,132,0
192.168.10.158,0,0,70807,451,1212761,939,2,133,0
192.168.10.161,0,0,66123,434,16279141,11614,0,134,0
192.168.10.168,0,0,72909,473,17633151,12587,1,131,0
192.168.10.190,0,0,71921,472,14861957,10626,1,131,0
192.168.10.217,0,0,68913,446,17903119,12769,0,131,0
192.168.10.226,0,0,71987,462,9445291,6784,1,132,0
192.168.10.229,0,0,66859,438,24058747,17133,0,132,0
192.168.10.247,0,0,70351,464,15604675,11153,1,131,0
192.168.10.248,0,0,76081,512,12537841,9017,1,148,0
localhost,580,298,483410,2815,190873100,135758,0,0,2189
