"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,36214,229,13952875,9975,0,79,0
192.168.10.121,0,0,35448,222,28790613,20504,0,79,0
192.168.10.122,0,0,36256,230,15017103,10725,0,80,0
192.168.10.137,0,0,34936,221,13141203,9392,0,80,0
192.168.10.138,0,0,35522,227,6634965,4778,2,81,0
192.168.10.152,0,0,36124,230,14375047,10270,0,80,0
192.168.10.155,0,0,35286,220,14188505,10132,0,78,0
192.168.10.158,0,0,35920,223,12245575,8759,0,79,0
192.168.10.190,0,0,34764,220,15557659,11107,0,79,0
192.168.10.217,0,0,32792,206,15709227,11209,0,79,0
192.168.10.226,0,0,33450,215,13681531,9771,0,80,0
192.168.10.229,0,0,34132,214,12498307,8931,0,79,0
192.168.10.247,0,0,35978,229,10031675,7187,0,79,0
192.168.10.248,0,0,35238,221,14628413,10449,0,79,0
localhost,202,175,418886,2182,273018543,192973,0,0,69
