"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,35885,227,26230339,17939,0,75,0
192.168.10.120,0,0,38467,241,34227987,23387,0,74,0
192.168.10.121,0,0,36503,229,30279359,20693,0,74,0
192.168.10.137,0,0,34507,218,23800883,16283,0,74,0
192.168.10.140,0,0,35211,222,20864747,14280,0,75,0
192.168.10.168,0,0,34557,218,22011891,15062,0,75,0
192.168.10.217,0,0,36631,230,25116201,17172,0,74,0
192.168.10.229,0,0,34837,219,26195929,17908,0,75,0
192.168.10.247,0,0,34555,218,18131667,12419,0,74,0
localhost,198,175,301862,1659,293152698,198507,0,0,193
