"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,63038,420,1146632,918,0,101,0
192.168.10.121,0,0,71455,455,23179378,16519,0,124,0
192.168.10.122,0,0,72896,474,9627305,6914,0,123,0
192.168.10.126,0,0,48288,321,4050416,2951,0,85,0
192.168.10.128,0,0,72615,468,18313366,13077,0,124,0
192.168.10.137,0,0,73619,475,12043716,8626,2,124,0
192.168.10.138,0,0,54698,362,2041362,1538,1,94,0
192.168.10.140,0,0,64893,419,15525152,11096,0,109,0
192.168.10.152,0,0,75581,502,7670774,5560,1,133,0
192.168.10.155,0,0,56008,355,17010648,12134,0,93,0
192.168.10.158,0,0,71377,454,39234758,27921,1,125,0
192.168.10.161,0,0,70230,454,14763305,10542,0,124,0
192.168.10.168,0,0,74205,479,10101332,7260,1,124,0
192.168.10.190,0,0,74421,481,1972630,1487,2,123,0
192.168.10.217,0,0,67727,439,872660,684,0,123,0
192.168.10.226,0,0,47158,309,23280826,16590,0,83,0
192.168.10.229,0,0,62464,397,6653112,4798,1,110,0
192.168.10.247,0,0,71343,466,6772596,4892,1,123,0
192.168.10.248,0,0,47730,317,7818642,5624,0,84,0
localhost,671,372,436974,2476,127838739,91515,0,0,948
