"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.138,0,0,0,0,0,0,22112,148,223874465,208888,0,74,0
192.168.10.152,0,0,0,0,0,0,66662,1235,190611873,177860,0,73,0
192.168.10.168,0,0,0,0,0,0,62706,1154,187057171,174545,0,73,0
192.168.10.226,0,0,0,0,0,0,23984,158,259846239,242447,0,73,0
localhost,358,158,1716,3,0,0,325547,857,718544927,658954,1,0,3611
control,167,110,201,1,0,0,0,0,0,0,0,0,0
