"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.121,0,0,0,0,0,0,31085,192,49502519,35179,0,81,0
192.168.10.122,0,0,0,0,0,0,76323,1356,66819103,47460,0,81,0
192.168.10.128,0,0,0,0,0,0,76243,1314,147747013,104865,0,81,0
192.168.10.137,0,0,0,0,0,0,77965,1392,62293955,44249,0,81,0
192.168.10.140,0,0,0,0,0,0,28321,187,64946829,46127,0,81,0
192.168.10.155,0,0,0,0,0,0,78681,1441,63765247,45288,0,80,0
192.168.10.158,0,0,0,0,0,0,29283,186,61996589,44034,0,82,0
192.168.10.161,0,0,0,0,0,0,75533,1343,76540019,54354,0,81,0
192.168.10.168,0,0,0,0,0,0,77085,1379,65112067,46243,0,82,0
192.168.10.190,0,0,0,0,0,0,28297,186,46118699,32776,0,80,0
192.168.10.217,0,0,0,0,0,0,33507,196,141384105,100353,0,81,0
192.168.10.226,0,0,0,0,0,0,29225,186,67638261,48038,0,82,0
192.168.10.247,0,0,0,0,0,0,29069,183,46072387,32743,0,80,0
192.168.10.248,0,0,0,0,0,0,29099,184,55398761,39354,3,80,0
localhost,199,126,1162,3,0,0,475160,1489,436733671,307041,1,0,3303
control,162,111,196,0,0,0,0,0,0,0,0,0,0
