"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.128,0,0,0,0,0,0,76637,1266,57574919,669432,24285,73,0
192.168.10.138,0,0,0,0,0,0,36035,232,44194437,513845,21033,73,0
192.168.10.140,0,0,0,0,0,0,35897,230,45433029,528249,18689,73,0
192.168.10.248,0,0,0,0,0,0,38385,248,45011255,523343,19628,74,0
localhost,913,428,2651,8,0,0,210507,615,8483389,79669,96,0,2135
control,1139,776,1820,8,0,0,0,0,0,0,0,0,0
