"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.121,0,0,38641,228,7165445,123436,0,75,0
192.168.10.138,0,0,36870,224,5458297,94004,0,76,0
192.168.10.140,0,0,37657,224,6153873,106002,0,75,0
192.168.10.152,0,0,38222,228,5355699,92238,0,75,0
192.168.10.158,0,0,37720,229,5894181,101524,0,75,0
192.168.10.168,0,0,38146,227,5287457,91058,0,76,0
192.168.10.226,0,0,35884,215,6636015,114317,0,74,0
192.168.10.229,0,0,36370,220,5438915,93675,0,75,0
192.168.10.248,0,0,36288,220,7179495,123681,0,75,0
localhost,126,140,429694,2371,119961709,1536246,0,0,158
