"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,29530,187,5875029,106709,0,83,0
192.168.10.121,0,0,30654,191,8121096,147551,0,82,0
192.168.10.122,0,0,29930,186,4731058,85913,0,82,0
192.168.10.126,0,0,28170,180,5135600,93266,0,84,0
192.168.10.128,0,0,31544,197,4766603,86556,0,82,0
192.168.10.137,0,0,28454,182,4582237,83203,0,84,0
192.168.10.138,0,0,28538,181,5085818,92358,0,84,0
192.168.10.140,0,0,29518,187,6781621,123194,0,83,0
192.168.10.152,0,0,28216,179,4819703,87527,0,84,0
192.168.10.155,0,0,28688,182,7135298,129628,0,83,0
192.168.10.158,0,0,28717,179,4706616,85472,0,83,0
192.168.10.161,0,0,27064,174,5617738,102036,0,84,0
192.168.10.168,0,0,28720,182,4906659,89103,0,82,0
192.168.10.190,0,0,30994,194,4741175,86092,0,83,0
192.168.10.217,0,0,26493,173,4653267,84500,0,84,0
192.168.10.226,0,0,28017,178,5346379,97103,0,83,0
192.168.10.229,0,0,30304,189,5189581,94251,0,83,0
192.168.10.247,0,0,29067,184,4975639,90358,0,83,0
192.168.10.248,0,0,30241,188,5967322,108388,0,83,0
localhost,194,143,527288,2655,46257821,614124,0,0,6924
