"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,37872,238,19768641,167515,5087,85,0
192.168.10.120,0,0,0,0,0,0,80053,1326,22532455,190939,5100,83,0
192.168.10.121,0,0,0,0,0,0,36907,232,15773566,133659,3502,85,0
192.168.10.126,0,0,0,0,0,0,37876,239,15958339,135225,2547,86,0
192.168.10.128,0,0,0,0,0,0,81889,1356,27575019,233670,6370,84,0
192.168.10.137,0,0,0,0,0,0,87392,1505,15255109,129266,3141,85,0
192.168.10.155,0,0,0,0,0,0,86596,1479,15718587,133193,3622,85,0
192.168.10.158,0,0,0,0,0,0,38109,239,14228155,120563,3461,83,0
192.168.10.161,0,0,0,0,0,0,96794,1696,14641761,124068,1255,85,0
192.168.10.168,0,0,0,0,0,0,83428,1366,15514827,131467,2594,85,0
192.168.10.217,0,0,0,0,0,0,37222,234,27751159,235164,6198,85,0
192.168.10.226,0,0,0,0,0,0,35409,224,17910691,151771,3947,83,0
192.168.10.229,0,0,0,0,0,0,84940,1420,24640543,208803,5998,85,0
192.168.10.248,0,0,0,0,0,0,35487,225,15357235,130131,4004,85,0
localhost,789,240,1485,6,549,3,336343,1201,11165002,80487,30,0,1262
control,983,624,1007,8,264,0,0,0,0,0,0,0,0
