"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,27047,186,9764915,53665,0,83,0
192.168.10.120,0,0,26397,187,10580995,58151,0,83,0
192.168.10.121,0,0,28217,191,14455199,79435,0,82,0
192.168.10.122,0,0,26027,184,9152087,50299,0,84,0
192.168.10.126,0,0,27947,193,10151615,55791,0,84,0
192.168.10.137,0,0,27717,193,10125873,55651,0,83,0
192.168.10.138,0,0,28613,192,10396165,57134,0,83,0
192.168.10.140,0,0,29585,200,9665377,53121,0,84,0
192.168.10.152,0,0,27861,190,10632221,58431,0,83,0
192.168.10.155,0,0,28631,193,13534623,74377,0,81,0
192.168.10.158,0,0,27487,188,9602171,52770,0,83,0
192.168.10.161,0,0,28287,191,8715337,47898,0,83,0
192.168.10.168,0,0,26833,191,8514185,46794,0,83,0
192.168.10.190,0,0,28025,193,9992575,54919,0,83,0
192.168.10.217,0,0,28703,193,8568413,47090,0,84,0
192.168.10.226,0,0,26009,181,10941067,60127,0,84,0
192.168.10.229,0,0,26625,184,11089859,60946,0,84,0
192.168.10.247,0,0,27735,189,7873413,43272,0,84,0
192.168.10.248,0,0,27017,188,10898889,59899,0,84,0
localhost,233,157,544551,3026,87979294,436366,0,0,4668
