"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,32027,194,8378177,5766,1,82,0
192.168.10.120,0,0,35673,219,5680569,3946,0,82,0
192.168.10.121,0,0,35051,214,26600975,18185,0,85,0
192.168.10.122,0,0,37365,227,9256775,6377,1,84,0
192.168.10.126,0,0,37513,232,4667223,3247,0,84,0
192.168.10.128,0,0,36041,222,7805467,5385,1,85,0
192.168.10.137,0,0,37127,229,3967311,2784,2,83,0
192.168.10.138,0,0,33579,207,4364303,3049,0,83,0
192.168.10.140,0,0,35361,218,9661659,6652,0,82,0
192.168.10.152,0,0,37887,233,3351673,2356,4,84,0
192.168.10.155,0,0,36059,218,8344393,5740,0,84,0
192.168.10.158,0,0,31829,195,6758431,4663,1,83,0
192.168.10.161,0,0,34913,208,7872149,5422,0,83,0
192.168.10.168,0,0,37727,231,7974377,5502,8,83,0
192.168.10.217,0,0,31665,194,5408911,3747,0,82,0
192.168.10.226,0,0,35025,212,17186397,11773,0,84,0
192.168.10.229,0,0,32177,192,10976887,7537,0,82,0
192.168.10.247,0,0,37725,234,3385689,2382,3,83,0
192.168.10.248,0,0,37659,233,4903699,3413,0,84,0
localhost,205,175,488090,2747,262529608,178850,0,0,441
