"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,64266,251,37093743,65582,0,88,0
192.168.10.120,0,0,0,0,0,0,114534,1514,56867397,100518,0,87,0
192.168.10.121,0,0,0,0,0,0,63802,241,32747839,57901,0,85,0
192.168.10.122,0,0,0,0,0,0,113092,1502,43262421,76478,0,85,0
192.168.10.126,0,0,0,0,0,0,63042,239,33422711,59097,0,85,0
192.168.10.128,0,0,0,0,0,0,113030,1500,82816323,146363,0,84,0
192.168.10.137,0,0,0,0,0,0,113252,1503,36960527,65343,1,86,0
192.168.10.138,0,0,0,0,0,0,63138,240,31888775,56385,0,85,0
192.168.10.140,0,0,0,0,0,0,63597,240,44216331,78167,0,85,0
192.168.10.152,0,0,0,0,0,0,114416,1503,34206645,60482,0,84,0
192.168.10.155,0,0,0,0,0,0,110894,1442,33184965,58676,0,86,0
192.168.10.161,0,0,0,0,0,0,113610,1507,38755021,68518,1,85,0
192.168.10.168,0,0,0,0,0,0,109894,1414,36400903,64357,0,85,0
192.168.10.190,0,0,0,0,0,0,63920,247,27778291,49129,5,85,0
192.168.10.217,0,0,0,0,0,0,63106,240,87992885,155508,0,85,0
192.168.10.226,0,0,0,0,0,0,62734,241,38302097,67716,1,85,0
192.168.10.229,0,0,0,0,0,0,113851,1498,80897459,142971,0,84,0
192.168.10.247,0,0,0,0,0,0,62342,237,31051737,54908,0,85,0
192.168.10.248,0,0,0,0,0,0,63850,247,40636207,71839,0,86,0
localhost,309,158,3532,3,0,0,530955,1682,-4084658671,360153,0,0,5105
control,185,136,259,1,0,0,0,0,0,0,0,0,0
