"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,213,186,308,0,0,0,292195,1060,653366577,599249,1148,0
control,177,100,93,0,0,0,0,0,0,0,0,0
