"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,31014,233,11998639,214162,8638,81,0
192.168.10.121,0,0,0,0,0,0,31952,239,7899823,140971,4739,81,0
192.168.10.122,0,0,0,0,0,0,72728,1302,10694341,190873,7943,82,0
192.168.10.126,0,0,0,0,0,0,34044,256,8999663,160611,5722,82,0
192.168.10.137,0,0,0,0,0,0,76972,1342,8380135,149548,4864,81,0
192.168.10.138,0,0,0,0,0,0,30846,232,7684857,137132,4730,82,0
192.168.10.152,0,0,0,0,0,0,75028,1327,8146167,145370,5252,82,0
192.168.10.155,0,0,0,0,0,0,78862,1423,6922789,123524,4589,81,0
192.168.10.158,0,0,0,0,0,0,31412,237,7851109,140101,6084,82,0
192.168.10.161,0,0,0,0,0,0,81146,1466,12572873,224418,4135,81,0
192.168.10.190,0,0,0,0,0,0,31954,241,7233535,129073,5607,82,0
192.168.10.226,0,0,0,0,0,0,31516,237,9688417,172908,7344,81,0
192.168.10.247,0,0,0,0,0,0,31040,233,7625199,136067,4745,82,0
192.168.10.248,0,0,0,0,0,0,30696,230,10533615,188003,6073,82,0
localhost,805,542,1437,5,382,1,362809,1288,3786092,48005,46,0,1675
control,819,144,1122,5,366,0,0,0,0,0,0,0,0
