"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,29386,186,11065889,35728,0,81,0
192.168.10.120,0,0,29682,192,11572981,37366,0,82,0
192.168.10.121,0,0,29144,186,20108857,64898,0,82,0
192.168.10.122,0,0,26243,176,9861397,31847,0,83,0
192.168.10.126,0,0,26894,184,11717627,37833,0,84,0
192.168.10.128,0,0,27427,182,9198567,29709,0,83,0
192.168.10.137,0,0,27602,185,12746779,41154,0,83,0
192.168.10.138,0,0,28874,189,11448939,36967,0,83,0
192.168.10.140,0,0,26020,178,11391029,36778,0,83,0
192.168.10.152,0,0,29114,185,9765515,31534,0,82,0
192.168.10.158,0,0,28723,182,10073321,32525,0,83,0
192.168.10.161,0,0,28970,184,10495969,33888,0,82,0
192.168.10.168,0,0,28984,190,10640191,34359,0,82,0
192.168.10.190,0,0,30336,192,12891373,41620,0,81,0
192.168.10.217,0,0,28422,184,13379713,43192,0,82,0
192.168.10.226,0,0,27392,179,11761203,37971,0,82,0
192.168.10.229,0,0,25308,175,10947563,35346,0,83,0
192.168.10.247,0,0,29067,183,11584919,37405,0,81,0
192.168.10.248,0,0,28949,186,11019715,35581,0,82,0
localhost,272,172,500237,2445,110513051,336108,0,0,2229
