"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,31370,191,4916639,84675,0,85,0
192.168.10.120,0,0,34461,208,6238463,107459,0,86,0
192.168.10.121,0,0,32071,195,7613271,131165,0,83,0
192.168.10.122,0,0,32047,196,4474077,77040,0,84,0
192.168.10.126,0,0,31924,196,4821601,83029,0,85,0
192.168.10.128,0,0,32799,202,4853097,83572,0,84,0
192.168.10.137,0,0,33117,202,4713501,81168,0,85,0
192.168.10.138,0,0,32453,198,5686827,97949,0,85,0
192.168.10.140,0,0,33725,208,8690419,149733,0,84,0
192.168.10.152,0,0,33219,202,4827645,83136,0,85,0
192.168.10.155,0,0,32247,196,7044419,121359,0,85,0
192.168.10.158,0,0,30527,184,5362167,92352,0,84,0
192.168.10.161,0,0,32361,195,5215017,89818,0,84,0
192.168.10.168,0,0,32857,201,4811625,82857,0,84,0
192.168.10.190,0,0,33315,204,4902009,84418,0,85,0
192.168.10.217,0,0,31475,192,4707981,81076,1,85,0
192.168.10.226,0,0,31641,193,5391363,92859,0,86,0
192.168.10.229,0,0,33975,204,5323063,91679,0,84,0
192.168.10.247,0,0,32019,197,5130977,88364,0,86,0
localhost,193,143,567145,3032,-4240941802,690003,0,0,5392
