"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,31528,224,11798327,168480,6358,83,0
192.168.10.120,0,0,0,0,0,0,82620,1475,18008385,257196,9250,84,0
192.168.10.121,0,0,0,0,0,0,31374,221,8683591,123985,4251,83,0
192.168.10.122,0,0,0,0,0,0,76780,1326,11789405,168354,5830,83,0
192.168.10.128,0,0,0,0,0,0,77258,1342,21835457,311867,11057,83,0
192.168.10.137,0,0,0,0,0,0,83792,1515,9192681,131258,5190,83,0
192.168.10.138,0,0,0,0,0,0,32482,231,9099181,129922,4539,84,0
192.168.10.140,0,0,0,0,0,0,32828,233,11210207,160078,6136,84,0
192.168.10.152,0,0,0,0,0,0,83284,1499,7889861,112646,3526,83,0
192.168.10.155,0,0,0,0,0,0,79852,1412,8802421,125682,4615,83,0
192.168.10.168,0,0,0,0,0,0,85916,1526,10066181,143736,5565,85,0
192.168.10.190,0,0,0,0,0,0,30116,210,8276961,118176,4496,83,0
192.168.10.226,0,0,0,0,0,0,32704,233,9718719,138771,5354,84,0
192.168.10.247,0,0,0,0,0,0,31348,220,9123215,130265,4360,83,0
localhost,487,92,2966,0,992,0,322888,1147,7547171,82684,138,0,2764
control,836,438,1389,12,418,1,0,0,0,0,0,0,0
