"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,0,0,0,0,28957,239,40065835,27329,0,81,0
192.168.10.121,0,0,0,0,0,0,28909,238,24788079,16937,0,82,0
192.168.10.122,0,0,0,0,0,0,28273,231,26219947,17913,0,81,0
192.168.10.126,0,0,0,0,0,0,40348,327,25973545,17742,0,104,0
192.168.10.137,0,0,0,0,0,0,40328,330,9188657,6378,1,108,0
192.168.10.138,0,0,0,0,0,0,28627,235,24837061,16968,0,81,0
192.168.10.155,0,0,0,0,0,0,29081,237,37502505,25586,0,81,0
192.168.10.161,0,0,0,0,0,0,29871,229,12582337,8634,0,81,0
192.168.10.190,0,0,0,0,0,0,38699,327,36784851,25097,0,103,0
192.168.10.217,0,0,0,0,0,0,38198,319,59187715,40343,0,103,0
192.168.10.226,0,0,0,0,0,0,27853,226,31895887,21775,0,80,0
192.168.10.229,0,0,0,0,0,0,37834,316,27220613,18596,0,104,0
192.168.10.247,0,0,0,0,0,0,37577,316,28939903,19777,0,104,0
192.168.10.248,0,0,0,0,0,0,38389,325,24790541,16934,0,104,0
localhost,481,300,688,3,0,0,404141,1638,89272510,61256,0,0,419
control,146,124,231,0,0,0,0,0,0,0,0,0,0
