"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,65192,255,42754019,39715,3,89,0
192.168.10.120,0,0,0,0,0,0,114422,1516,74042611,68737,0,86,0
192.168.10.122,0,0,0,0,0,0,113082,1487,51239723,47585,0,86,0
192.168.10.126,0,0,0,0,0,0,65112,256,50130411,46555,0,89,0
192.168.10.128,0,0,0,0,0,0,111334,1431,100131259,92937,0,86,0
192.168.10.137,0,0,0,0,0,0,115322,1515,48913373,45426,0,85,0
192.168.10.138,0,0,0,0,0,0,65044,255,41711305,38746,0,89,0
192.168.10.140,0,0,0,0,0,0,65040,259,42922525,39874,0,88,0
192.168.10.152,0,0,0,0,0,0,115830,1519,40983931,38073,0,88,0
192.168.10.155,0,0,0,0,0,0,111202,1441,34335655,31905,1,86,0
192.168.10.158,0,0,0,0,0,0,64762,252,39731225,36913,0,89,0
192.168.10.161,0,0,0,0,0,0,115242,1518,53776457,49942,0,86,0
192.168.10.168,0,0,0,0,0,0,74106,1449,9341,69,0,88,0
192.168.10.190,0,0,0,0,0,0,64270,247,38195099,35489,0,86,0
192.168.10.217,0,0,0,0,0,0,65006,255,100485897,93266,0,86,0
192.168.10.226,0,0,0,0,0,0,63860,254,43480279,40387,2,86,0
192.168.10.229,0,0,0,0,0,0,114784,1514,85666687,79520,0,89,0
192.168.10.247,0,0,0,0,0,0,65160,256,37459749,34804,0,88,0
192.168.10.248,0,0,0,0,0,0,64406,249,50086313,46516,0,86,0
localhost,273,127,1882,3,0,0,522840,1627,352570413,322570,0,0,3260
control,144,108,208,1,0,0,0,0,0,0,0,0,0
