"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.121,0,0,41919,245,5498510,88595,0,78,0
192.168.10.122,0,0,40491,241,3656288,58881,0,79,0
192.168.10.126,0,0,42105,240,2956314,47592,35,79,0
192.168.10.138,0,0,39536,233,3270997,52667,1,80,0
192.168.10.140,0,0,42221,250,4323348,69638,32,79,0
192.168.10.152,0,0,43350,257,3001396,48316,0,79,0
192.168.10.155,0,0,41627,246,4199630,67645,0,78,0
192.168.10.158,0,0,40983,243,3057010,49216,36,79,0
192.168.10.161,0,0,40443,238,4095424,65966,0,78,0
192.168.10.168,0,0,42287,253,3079720,49580,0,78,0
192.168.10.190,0,0,39702,232,3366328,54204,0,79,0
192.168.10.217,0,0,39483,234,4315454,69513,0,79,0
192.168.10.229,0,0,40372,239,4063158,65442,0,79,0
192.168.10.248,0,0,39007,229,3322846,53509,0,80,0
localhost,118,99,447232,2275,128037274,1559669,0,0,99
