"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,35263,209,19278683,17939,0,75,0
192.168.10.120,0,0,34833,204,24385165,22674,0,75,0
192.168.10.128,0,0,34477,203,19870701,18490,0,75,0
192.168.10.137,0,0,35839,210,20000011,18608,0,75,0
192.168.10.161,0,0,34249,200,22093259,20547,0,76,0
192.168.10.190,0,0,35815,211,22138299,20595,0,74,0
192.168.10.229,0,0,36985,213,27156309,25242,0,75,0
192.168.10.247,0,0,36083,211,27909287,25945,0,75,0
192.168.10.248,0,0,33917,202,28391131,26400,0,76,0
localhost,169,153,377184,1972,305849054,280190,0,0,278
