"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.122,0,0,32529,205,8837753,102716,0,76,0
192.168.10.138,0,0,35211,212,7767833,90277,0,76,0
192.168.10.140,0,0,35675,214,7789799,90533,0,75,0
192.168.10.152,0,0,33465,211,7206003,83744,0,76,0
192.168.10.155,0,0,32247,200,8271089,96128,0,75,0
192.168.10.161,0,0,31701,198,7742467,89983,0,75,0
192.168.10.168,0,0,34751,209,7290647,84729,0,75,0
192.168.10.190,0,0,35377,216,8305935,96533,0,74,0
192.168.10.247,0,0,35369,215,9039475,105063,0,75,0
localhost,125,140,401924,2189,157752384,1487588,0,0,177
