"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,35008,224,4906607,70025,0,83,0
192.168.10.120,0,0,35403,227,6654634,94993,0,83,0
192.168.10.121,0,0,35227,229,7589216,108346,0,84,0
192.168.10.122,0,0,34251,222,5191826,74097,0,84,0
192.168.10.126,0,0,35879,230,5607742,80039,0,83,0
192.168.10.128,0,0,35633,227,4892576,69822,0,82,0
192.168.10.137,0,0,35061,222,5569922,79499,0,82,0
192.168.10.138,0,0,36621,237,6159892,87926,0,84,0
192.168.10.140,0,0,34953,225,8194052,116985,0,83,0
192.168.10.152,0,0,35664,231,5000604,71366,0,85,0
192.168.10.155,0,0,34529,223,7822802,111683,0,82,0
192.168.10.158,0,0,34089,220,6133618,87553,0,83,0
192.168.10.161,0,0,35527,229,6056718,86455,0,84,0
192.168.10.168,0,0,37163,236,5176924,73884,0,84,0
192.168.10.190,0,0,35347,225,6123682,87409,0,82,0
192.168.10.217,0,0,33803,218,5817358,83035,0,83,0
192.168.10.226,0,0,34805,223,6382670,91110,0,83,0
192.168.10.229,0,0,35149,225,6546438,93452,0,84,0
192.168.10.247,0,0,34604,221,5554356,79276,0,81,0
localhost,196,146,523014,2671,59372881,657953,0,0,7597
