"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.121,0,0,38570,223,12946446,71149,0,75,0
192.168.10.138,0,0,39405,221,12976960,71316,0,75,0
192.168.10.140,0,0,37953,219,13566800,74560,0,75,0
192.168.10.155,0,0,37944,218,13961610,76725,0,75,0
192.168.10.158,0,0,38515,222,12146288,66754,0,75,0
192.168.10.161,0,0,37155,210,12724668,69928,0,75,0
192.168.10.190,0,0,38405,219,11780648,64744,0,75,0
192.168.10.247,0,0,39388,226,13660480,75074,0,75,0
192.168.10.248,0,0,39235,226,14584054,80149,0,75,0
localhost,121,103,376213,2164,217082156,1075372,0,0,130
