"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,36968,230,2713391,48349,0,79,0
192.168.10.120,0,0,37105,225,3279987,58468,0,79,0
192.168.10.122,0,0,35942,226,3322075,59214,0,78,0
192.168.10.126,0,0,35053,222,2417135,43058,2,79,0
192.168.10.128,0,0,36782,230,2751423,49026,4,78,0
192.168.10.137,0,0,37172,232,2069203,36845,17,78,0
192.168.10.138,0,0,36052,225,2581667,45995,1,79,0
192.168.10.140,0,0,35768,225,4809041,85766,0,79,0
192.168.10.152,0,0,37355,231,2576085,45895,33,79,0
192.168.10.158,0,0,36696,230,2547113,45381,96,79,0
192.168.10.161,0,0,34251,214,3435581,61248,0,79,0
192.168.10.168,0,0,35275,222,2745213,48915,43,79,0
192.168.10.226,0,0,37302,230,3407833,60751,0,78,0
192.168.10.229,0,0,35394,221,3418635,60945,0,78,0
localhost,113,96,475312,2524,114012029,1497963,0,0,156
