"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,71199,294,5445909,97143,31,75,0
192.168.10.128,0,0,70619,298,5139798,91674,0,76,0
192.168.10.138,0,0,70194,299,5026967,89657,32,76,0
192.168.10.152,0,0,74056,315,4970307,88649,16,76,0
192.168.10.155,0,0,71384,294,5643869,100673,0,76,0
192.168.10.161,0,0,69148,289,5062605,90290,7,77,0
192.168.10.190,0,0,72808,302,6278213,112002,0,75,0
192.168.10.229,0,0,69224,287,5049783,90057,0,75,0
192.168.10.247,0,0,72229,304,4979937,88817,1,75,0
localhost,139,140,370963,1960,103269016,1357402,0,0,456
