"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,29929,242,27331953,19454,1,81,0
192.168.10.121,0,0,0,0,0,0,29799,242,35066175,24937,0,87,0
192.168.10.126,0,0,0,0,0,0,30777,253,6502451,4665,1,88,0
192.168.10.137,0,0,0,0,0,0,28987,234,6020153,4348,1,81,0
192.168.10.138,0,0,0,0,0,0,28377,224,25328569,18032,1,81,0
192.168.10.155,0,0,0,0,0,0,30141,247,35038907,24923,0,81,0
192.168.10.158,0,0,0,0,0,0,30143,244,25144375,17909,0,88,0
192.168.10.161,0,0,0,0,0,0,29799,241,21741095,15485,0,87,0
192.168.10.168,0,0,0,0,0,0,29487,242,28284745,20136,1,87,0
192.168.10.190,0,0,0,0,0,0,29835,242,42476439,30205,0,88,0
192.168.10.226,0,0,0,0,0,0,30375,243,36710669,26108,0,88,0
192.168.10.229,0,0,0,0,0,0,29159,236,32770367,23318,0,82,0
192.168.10.247,0,0,0,0,0,0,29565,237,20880403,14891,0,81,0
192.168.10.248,0,0,0,0,0,0,29933,242,38607807,27459,0,87,0
localhost,441,300,738,3,0,0,392956,1539,115414448,81986,0,0,724
control,151,140,196,1,0,0,0,0,0,0,0,0,0
