"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,34085,222,7383257,62556,0,86,0
192.168.10.120,0,0,31327,210,9567765,81070,0,85,0
192.168.10.121,0,0,34483,226,14846675,125805,0,86,0
192.168.10.122,0,0,34329,224,8239757,69814,0,85,0
192.168.10.126,0,0,34167,223,8361101,70841,0,86,0
192.168.10.128,0,0,33185,221,8156555,69111,0,85,0
192.168.10.137,0,0,36081,232,8361333,70846,0,86,0
192.168.10.138,0,0,35003,229,7873961,66716,0,86,0
192.168.10.140,0,0,31575,214,8659561,73373,0,84,0
192.168.10.152,0,0,29605,202,7924997,67143,0,83,0
192.168.10.155,0,0,34297,225,11573615,98067,0,85,0
192.168.10.158,0,0,31675,207,7733343,65521,0,86,0
192.168.10.161,0,0,25971,181,7002451,59329,0,82,0
192.168.10.168,0,0,34151,223,8016929,67926,0,85,0
192.168.10.217,0,0,34129,224,7573833,64170,0,85,0
192.168.10.226,0,0,26407,180,8366601,70887,0,82,0
192.168.10.229,0,0,31481,210,8757131,74199,0,85,0
192.168.10.247,0,0,30939,207,8065577,68338,0,84,0
192.168.10.248,0,0,24859,175,8959711,75915,0,82,0
localhost,194,146,501250,2597,80553518,583478,0,0,3318
