"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,23608,171,7128089,82842,0,82,0
192.168.10.120,0,0,0,0,0,0,24173,175,10282575,119519,0,83,0
192.168.10.122,0,0,0,0,0,0,22864,167,7353419,85460,0,81,0
192.168.10.126,0,0,0,0,0,0,22862,167,7765133,90246,0,82,0
192.168.10.128,0,0,0,0,0,0,23128,168,14057771,163419,0,80,0
192.168.10.137,0,0,0,0,0,0,22926,167,8025087,93271,0,81,0
192.168.10.138,0,0,0,0,0,0,24134,176,8520439,99031,0,82,0
192.168.10.140,0,0,0,0,0,0,24575,176,16912601,196614,0,83,0
192.168.10.152,0,0,0,0,0,0,24014,173,6942351,80681,0,83,0
192.168.10.155,0,0,0,0,0,0,23424,169,9283645,107906,0,81,0
192.168.10.158,0,0,0,0,0,0,23894,174,6858947,79713,0,82,0
192.168.10.161,0,0,0,0,0,0,23653,173,6673255,77551,0,81,0
192.168.10.168,0,0,0,0,0,0,24217,174,6806701,79104,0,83,0
192.168.10.190,0,0,0,0,0,0,23849,172,8637093,100388,0,82,0
192.168.10.217,0,0,0,0,0,0,23853,173,14823687,172325,0,82,0
192.168.10.226,0,0,0,0,0,0,23399,170,9384199,109075,0,81,0
192.168.10.229,0,0,0,0,0,0,23344,170,7837977,91095,0,82,0
192.168.10.247,0,0,0,0,0,0,24055,173,7574361,88030,0,83,0
192.168.10.248,0,0,0,0,0,0,23220,168,7866139,91423,0,80,0
localhost,234,168,3810,4,0,0,478195,1868,35525091,334142,0,0,3188
control,193,156,285,0,4,0,0,0,0,0,0,0,0
