"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,30565,193,3866783,55169,0,79,0
192.168.10.120,0,0,31459,197,4020839,57369,32,78,0
192.168.10.121,0,0,31257,197,8050245,114934,0,80,0
192.168.10.122,0,0,31873,198,4093693,58410,0,79,0
192.168.10.126,0,0,30009,188,4057735,57897,0,80,0
192.168.10.128,0,0,31655,199,3298683,47053,0,78,0
192.168.10.137,0,0,32687,202,2815015,40142,6,79,0
192.168.10.140,0,0,32067,202,6316249,90159,0,78,0
192.168.10.152,0,0,30031,189,3439267,49061,2,80,0
192.168.10.158,0,0,30739,192,3996999,57029,0,80,0
192.168.10.161,0,0,30795,192,3972613,56682,0,79,0
192.168.10.168,0,0,31393,198,3764785,53712,32,79,0
192.168.10.190,0,0,28731,181,4249787,60641,0,80,0
192.168.10.229,0,0,30627,191,3966227,56591,0,79,0
localhost,123,140,435512,2302,125055454,1388139,0,0,134
