"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,-1900713,-11846,-396503821,-1788876,0,-4664,0
192.168.10.120,0,0,0,0,0,0,-2525768,-14880,-275742653,-1794237,-47,-4674,0
192.168.10.122,0,0,0,0,0,0,-484901,-2975,-102424384,-481084,-1,-1119,0
192.168.10.126,0,0,0,0,0,0,-413102,-2627,-54042758,-225682,0,-1108,0
192.168.10.128,0,0,0,0,0,0,-2621925,-15382,-434019712,-4591652,-46,-4673,0
192.168.10.137,0,0,0,0,0,0,32983,244,10799785,125535,0,78,0
192.168.10.138,0,0,0,0,0,0,-2561523,-15092,-277582621,-2077511,-93,-4678,0
192.168.10.155,0,0,0,0,0,0,-549094,-3276,-254158715,-614199,0,-1109,0
192.168.10.158,0,0,0,0,0,0,-2663782,-15377,-272866220,-2223703,-12,-4631,0
192.168.10.161,0,0,0,0,0,0,-523203,-3125,-120066319,-593542,32,-1072,0
192.168.10.190,0,0,0,0,0,0,-459926,-2849,-69682811,-494074,0,-1102,0
192.168.10.217,0,0,0,0,0,0,-2655832,-15473,-576213668,-2978640,-16,-4624,0
192.168.10.226,0,0,0,0,0,0,-435860,-2718,-95832685,-321380,0,-1116,0
192.168.10.248,0,0,0,0,0,0,-1039318,-6329,-339531825,-1380593,0,-2288,0
localhost,183,146,4096,3,0,0,529213,2212,58773022,553557,0,0,5042
control,153,111,212,0,0,0,0,0,0,0,0,0,0
