"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,49423,259,27333447,150194,2357,83,0
192.168.10.120,0,0,0,0,0,0,94211,1358,33391351,183481,2256,82,0
192.168.10.122,0,0,0,0,0,0,93377,1357,24936513,137024,2114,83,0
192.168.10.128,0,0,0,0,0,0,92242,1366,42834778,235366,3345,83,0
192.168.10.137,0,0,0,0,0,0,93551,1363,23904283,131353,1428,82,0
192.168.10.138,0,0,0,0,0,0,49661,257,23080163,126825,2631,83,0
192.168.10.140,0,0,0,0,0,0,50353,264,28097301,154391,2295,83,0
192.168.10.155,0,0,0,0,0,0,93925,1421,20095162,110426,2139,83,0
192.168.10.158,0,0,0,0,0,0,53582,278,20605398,113228,1556,82,0
192.168.10.190,0,0,0,0,0,0,49412,257,19968823,109729,1442,83,0
192.168.10.217,0,0,0,0,0,0,51132,265,43151198,237106,3587,83,0
192.168.10.229,0,0,0,0,0,0,93503,1360,40421305,222106,3264,83,0
192.168.10.247,0,0,0,0,0,0,45204,237,20947364,115106,1820,83,0
192.168.10.248,0,0,0,0,0,0,48720,254,25220607,138585,2884,82,0
localhost,1253,436,6858,13,1842,0,405410,1356,24307160,120747,317,0,7516
control,1181,364,2321,15,496,0,0,0,0,0,0,0,0
