"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,25791,177,16738107,54023,0,79,0
192.168.10.120,0,0,0,0,0,0,26635,182,29621583,95582,0,78,0
192.168.10.121,0,0,0,0,0,0,26264,179,17233955,55623,0,79,0
192.168.10.122,0,0,0,0,0,0,26270,178,16759761,54092,0,79,0
192.168.10.126,0,0,0,0,0,0,27448,186,16480315,53193,0,78,0
192.168.10.128,0,0,0,0,0,0,26196,177,39485381,127400,0,80,0
192.168.10.138,0,0,0,0,0,0,26884,183,20942021,67584,0,79,0
192.168.10.152,0,0,0,0,0,0,26022,177,17132775,55299,0,79,0
192.168.10.155,0,0,0,0,0,0,26714,183,20924401,67528,0,81,0
192.168.10.158,0,0,0,0,0,0,25799,178,15624219,50431,0,78,0
192.168.10.226,0,0,0,0,0,0,26594,181,22320499,72031,0,82,0
192.168.10.229,0,0,0,0,0,0,26383,179,17404863,56176,0,78,0
192.168.10.247,0,0,0,0,0,0,25769,176,17194109,55498,0,79,0
192.168.10.248,0,0,0,0,0,0,26358,180,17403831,56171,0,80,0
localhost,232,172,2117,3,0,0,455543,1937,84926918,258342,0,0,2985
control,159,132,204,1,0,0,0,0,0,0,0,0,0
