"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,32095,203,5209203,60527,0,79,0
192.168.10.120,0,0,31239,199,6240085,72514,0,79,0
192.168.10.121,0,0,31935,199,8546001,99328,0,79,0
192.168.10.122,0,0,30869,198,5365261,62342,0,80,0
192.168.10.126,0,0,30633,197,4850207,56353,0,80,0
192.168.10.128,0,0,31711,198,4525203,52573,0,79,0
192.168.10.140,0,0,29610,191,5824501,67682,0,79,0
192.168.10.152,0,0,31909,198,4112125,47770,1,78,0
192.168.10.158,0,0,31367,199,5584479,64891,0,80,0
192.168.10.161,0,0,31189,196,5752269,66842,0,78,0
192.168.10.168,0,0,30439,194,4513209,52434,0,79,0
192.168.10.217,0,0,30749,192,5642299,65563,0,78,0
192.168.10.229,0,0,31331,190,5130609,59614,0,79,0
192.168.10.248,0,0,31825,198,5063563,58834,0,79,0
localhost,115,96,447478,2528,145221386,1369225,0,0,85
