"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,33857,194,15727857,14646,0,78,0
192.168.10.122,0,0,34279,199,17420789,16221,0,79,0
192.168.10.128,0,0,33103,190,8991469,8396,0,80,0
192.168.10.137,0,0,33165,192,7470705,6989,1,79,0
192.168.10.138,0,0,33705,194,7232607,6770,0,79,0
192.168.10.152,0,0,34637,200,10161503,9487,1,79,0
192.168.10.155,0,0,34349,193,12579585,11720,0,78,0
192.168.10.161,0,0,32541,185,15344655,14285,0,78,0
192.168.10.168,0,0,34015,196,14100405,13139,0,79,0
192.168.10.190,0,0,33799,195,14205693,13232,0,79,0
192.168.10.217,0,0,31417,180,16252331,15127,0,79,0
192.168.10.229,0,0,32625,186,13418273,12498,0,80,0
192.168.10.247,0,0,34217,192,13461037,12544,0,79,0
192.168.10.248,0,0,33827,196,11599545,10821,0,79,0
localhost,171,153,407903,2384,277154895,254411,0,0,267
