"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,63190,237,48079997,44902,2,89,0
192.168.10.120,0,0,0,0,0,0,113880,1500,74302639,69363,0,89,0
192.168.10.121,0,0,0,0,0,0,63838,238,37166565,34724,0,89,0
192.168.10.122,0,0,0,0,0,0,112742,1499,44140499,41227,1,86,0
192.168.10.126,0,0,0,0,0,0,63810,237,48256779,45067,1,86,0
192.168.10.128,0,0,0,0,0,0,115644,1533,100224121,93542,0,89,0
192.168.10.137,0,0,0,0,0,0,115514,1554,45274601,42288,0,88,0
192.168.10.138,0,0,0,0,0,0,22032,174,9291,68,0,88,0
192.168.10.140,0,0,0,0,0,0,62876,239,44798533,41842,0,89,0
192.168.10.152,0,0,0,0,0,0,117986,1603,46897509,43800,0,89,0
192.168.10.158,0,0,0,0,0,0,64514,243,36973803,34545,0,87,0
192.168.10.161,0,0,0,0,0,0,114894,1531,51365687,47969,0,88,0
192.168.10.168,0,0,0,0,0,0,114080,1497,47446473,44314,58,88,0
192.168.10.190,0,0,0,0,0,0,64306,242,45380303,42387,0,85,0
192.168.10.217,0,0,0,0,0,0,63768,242,98879385,92290,0,86,0
192.168.10.226,0,0,0,0,0,0,64066,245,45183037,42203,0,88,0
192.168.10.229,0,0,0,0,0,0,114530,1526,95904061,89514,0,88,0
192.168.10.247,0,0,0,0,0,0,62920,239,38566775,36033,0,89,0
192.168.10.248,0,0,0,0,0,0,65298,246,48252741,45068,0,86,0
localhost,197,158,1950,3,0,0,486346,1500,292352274,269081,0,0,4202
control,144,108,174,0,0,0,0,0,0,0,0,0,0
