"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,0,0,0,0,72164,1233,301419689,213918,0,73,0
192.168.10.137,0,0,0,0,0,0,68614,1223,209617161,148792,0,73,0
192.168.10.190,0,0,0,0,0,0,27838,155,198463919,140881,0,73,0
192.168.10.248,0,0,0,0,0,0,29360,152,212123251,150557,0,73,0
localhost,170,126,635,3,0,0,292659,743,725563133,508858,0,0,2507
control,130,104,101,0,0,0,0,0,0,0,0,0,0
