"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,35661,199,21209409,19842,0,76,0
192.168.10.128,0,0,35987,200,23125891,21627,0,75,0
192.168.10.138,0,0,35157,196,20603155,19278,0,76,0
192.168.10.140,0,0,34951,196,32890409,30740,0,76,0
192.168.10.168,0,0,37685,211,20527937,19209,0,75,0
192.168.10.190,0,0,35557,199,16182581,15158,0,75,0
192.168.10.229,0,0,34765,192,24690533,23081,0,76,0
192.168.10.247,0,0,36149,198,25604293,23938,0,75,0
192.168.10.248,0,0,35639,197,24459769,22874,0,76,0
localhost,172,175,365380,2087,312297197,287763,0,0,27
