"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,196,186,121,0,0,0,295856,1109,-3514856064,525559,206,0
control,124,106,99,0,0,0,0,0,0,0,0,0
