"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,29937,182,5561303,47113,0,78,0
192.168.10.121,0,0,31049,188,6853031,58061,0,79,0
192.168.10.122,0,0,30135,180,5941081,50332,0,78,0
192.168.10.126,0,0,31241,190,5397753,45728,0,78,0
192.168.10.128,0,0,30473,187,5333389,45182,0,79,0
192.168.10.140,0,0,31243,190,5296241,44867,32,78,0
192.168.10.155,0,0,30481,186,6631823,56185,0,79,0
192.168.10.161,0,0,30773,185,5827657,49370,0,79,0
192.168.10.168,0,0,30971,189,4611743,39066,0,78,0
192.168.10.217,0,0,29909,180,5839861,49474,0,79,0
192.168.10.226,0,0,28765,173,4581361,38808,0,79,0
192.168.10.229,0,0,30805,185,4609591,39047,0,78,0
192.168.10.247,0,0,30383,182,5209345,44130,0,77,0
192.168.10.248,0,0,30977,181,4607355,39030,2,78,0
localhost,121,99,392077,2077,169545973,1228485,0,0,305
