"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.121,0,0,0,0,0,0,26173,164,12553189,224064,0,75,0
192.168.10.126,0,0,0,0,0,0,26833,168,12300555,219553,0,74,0
192.168.10.128,0,0,0,0,0,0,27517,172,19018249,339514,0,75,0
192.168.10.137,0,0,0,0,0,0,26659,167,13446155,240010,0,75,0
192.168.10.140,0,0,0,0,0,0,27583,173,19821899,353863,0,74,0
192.168.10.152,0,0,0,0,0,0,27258,171,10748517,191840,0,75,0
192.168.10.161,0,0,0,0,0,0,26282,166,10804685,192841,0,76,0
192.168.10.217,0,0,0,0,0,0,26237,165,20232971,361203,0,75,0
192.168.10.229,0,0,0,0,0,0,26989,169,11726751,209309,0,75,0
localhost,176,140,5290,3,0,0,390395,1621,46176949,606237,1,0,4780
control,151,117,255,1,0,0,0,0,0,0,0,0,0
