"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,123,110,357,0,0,0,320522,1254,649478228,1968859,2206,0
control,127,106,100,0,0,0,0,0,0,0,0,0
