"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,503,517,22788,9,0,0,263391,540,553976768,1679217,27037,0
control,284,108,800,0,0,0,0,0,0,0,0,0
