"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,28108,228,47292915,33607,0,87,0
192.168.10.120,0,0,0,0,0,0,81130,1493,86902313,61708,0,85,0
192.168.10.121,0,0,0,0,0,0,29686,233,40528851,28813,1,86,0
192.168.10.122,0,0,0,0,0,0,78850,1493,51756207,36773,0,86,0
192.168.10.126,0,0,0,0,0,0,28726,233,38070723,27075,0,86,0
192.168.10.137,0,0,0,0,0,0,79080,1487,44537817,31660,0,85,0
192.168.10.138,0,0,0,0,0,0,27596,228,35252131,25067,0,87,0
192.168.10.140,0,0,0,0,0,0,27566,228,53799035,38221,0,86,0
192.168.10.152,0,0,0,0,0,0,78060,1489,39485851,28067,0,86,0
192.168.10.155,0,0,0,0,0,0,79084,1488,42073781,29908,0,86,0
192.168.10.158,0,0,0,0,0,0,27570,228,41756289,29680,0,86,0
192.168.10.161,0,0,0,0,0,0,78944,1487,57257007,40677,0,86,0
192.168.10.168,0,0,0,0,0,0,77778,1487,43166699,30679,0,85,0
192.168.10.190,0,0,0,0,0,0,27726,229,36429063,25903,2,85,0
192.168.10.217,0,0,0,0,0,0,29452,231,112913737,80160,0,86,0
192.168.10.226,0,0,0,0,0,0,28182,229,44745603,31799,3,86,0
192.168.10.229,0,0,0,0,0,0,81492,1490,97604051,69297,0,85,0
192.168.10.247,0,0,0,0,0,0,28188,229,43208183,30709,0,86,0
192.168.10.248,0,0,0,0,0,0,28580,232,47075649,33456,0,86,0
localhost,179,126,1169,3,0,0,467331,1507,356096147,250630,3,0,3036
control,161,120,183,0,0,0,0,0,0,0,0,0,0
