"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,37621,229,5321964,61836,0,82,0
192.168.10.120,0,0,36596,233,8035532,93390,0,85,0
192.168.10.121,0,0,37222,229,10123637,117672,0,83,0
192.168.10.122,0,0,38447,235,5868573,68191,0,83,0
192.168.10.126,0,0,39424,241,6253811,72672,0,83,0
192.168.10.128,0,0,38042,235,5707775,66323,0,83,0
192.168.10.137,0,0,37906,230,6031525,70088,0,82,0
192.168.10.138,0,0,38790,241,6208321,72144,0,83,0
192.168.10.140,0,0,37952,233,8745133,101642,0,83,0
192.168.10.152,0,0,38181,236,5856048,68047,0,82,0
192.168.10.155,0,0,36360,231,8363741,97204,0,84,0
192.168.10.158,0,0,36459,225,6247141,72596,0,82,0
192.168.10.161,0,0,37336,231,5723796,66506,0,82,0
192.168.10.168,0,0,37511,235,6007753,69810,0,86,0
192.168.10.217,0,0,36136,223,6279640,72972,0,82,0
192.168.10.226,0,0,36997,227,7430073,86352,0,83,0
192.168.10.229,0,0,35203,221,6397997,74350,0,86,0
192.168.10.247,0,0,36471,225,6217835,72255,0,83,0
192.168.10.248,0,0,38788,238,6893564,80111,0,84,0
localhost,220,150,442695,2448,63158992,594954,0,0,11921
