"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,65889,400,20390651,19081,0,135,0
192.168.10.121,0,0,63063,384,29337057,27420,0,136,0
192.168.10.122,0,0,70323,436,7628263,7211,0,151,0
192.168.10.126,0,0,66841,405,11963219,11226,0,136,0
192.168.10.128,0,0,65940,405,1425559,1409,3,134,0
192.168.10.137,0,0,64613,395,15379103,14414,0,136,0
192.168.10.138,0,0,68689,417,3992775,3800,3,136,0
192.168.10.140,0,0,66842,408,17290875,16193,0,134,0
192.168.10.152,0,0,65595,401,16632717,15579,0,136,0
192.168.10.155,0,0,65916,401,21307951,19933,0,134,0
192.168.10.158,0,0,66251,409,3610167,3455,0,152,0
192.168.10.161,0,0,65958,404,14788147,13853,0,134,0
192.168.10.168,0,0,63503,386,949135,959,0,137,0
192.168.10.190,0,0,63909,385,1051919,1057,0,136,0
192.168.10.217,0,0,61699,377,13658889,12802,0,136,0
192.168.10.226,0,0,64250,391,16264937,15226,0,135,0
192.168.10.229,0,0,65328,396,20514577,19191,0,135,0
192.168.10.247,0,0,65535,397,10921345,10254,1,137,0
192.168.10.248,0,0,65339,401,10359897,9732,0,136,0
localhost,489,290,480647,2719,153663898,142833,0,0,2912
