"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,0,0,0,0,76710,1428,139432225,98966,0,79,0
192.168.10.126,0,0,0,0,0,0,26038,164,89842625,63788,6,78,0
192.168.10.128,0,0,0,0,0,0,72864,1289,184888841,131208,0,78,0
192.168.10.140,0,0,0,0,0,0,24242,162,95413207,67745,0,78,0
192.168.10.152,0,0,0,0,0,0,74408,1402,104305661,74042,0,78,0
192.168.10.161,0,0,0,0,0,0,70832,1363,79585717,56512,0,78,0
192.168.10.168,0,0,0,0,0,0,70614,1365,93779567,66579,0,79,0
192.168.10.226,0,0,0,0,0,0,24592,162,98481973,69910,0,78,0
192.168.10.248,0,0,0,0,0,0,23140,160,98838051,70171,0,78,0
localhost,163,118,1117,3,0,0,346437,977,-3783402944,359043,46,0,3572
control,130,112,103,0,0,0,0,0,0,0,0,0,0
