"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,37386,252,34318681,290823,8998,81,0
192.168.10.121,0,0,0,0,0,0,37462,252,25644107,217309,6188,78,0
192.168.10.126,0,0,0,0,0,0,36636,245,28745191,243591,7281,79,0
192.168.10.140,0,0,0,0,0,0,37258,250,33937289,287592,7880,80,0
192.168.10.155,0,0,0,0,0,0,84024,1419,26924841,228160,6381,80,0
192.168.10.158,0,0,0,0,0,0,37622,253,24807971,210221,5742,80,0
192.168.10.161,0,0,0,0,0,0,84548,1439,34539545,292694,5374,81,0
192.168.10.168,0,0,0,0,0,0,80806,1333,25617665,217086,7045,81,0
192.168.10.247,0,0,0,0,0,0,37276,251,24741763,209665,5571,78,0
localhost,958,192,1455,5,400,1,226186,782,10718931,77463,63,0,1938
control,688,293,881,5,325,1,0,0,0,0,0,0,0
