"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,40957,337,17317095,16129,0,87,0
192.168.10.120,0,0,0,0,0,0,49112,401,22960883,21369,0,93,0
192.168.10.121,0,0,0,0,0,0,68734,521,67491338,62667,0,122,0
192.168.10.122,0,0,0,0,0,0,48842,397,18231018,16973,1,94,0
192.168.10.126,0,0,0,0,0,0,68100,516,8368166,7819,1,121,0
192.168.10.137,0,0,0,0,0,0,67007,506,10800538,10081,1,121,0
192.168.10.138,0,0,0,0,0,0,68042,516,13299794,12392,0,122,0
192.168.10.140,0,0,0,0,0,0,50377,409,40012579,37175,0,94,0
192.168.10.152,0,0,0,0,0,0,50056,408,10536168,9836,1,94,0
192.168.10.155,0,0,0,0,0,0,69879,528,22262838,20715,0,121,0
192.168.10.158,0,0,0,0,0,0,48117,389,12288091,11463,3,92,0
192.168.10.161,0,0,0,0,0,0,49156,401,3953931,3713,8,93,0
192.168.10.168,0,0,0,0,0,0,51082,415,7117356,6676,0,93,0
192.168.10.190,0,0,0,0,0,0,70353,533,8620029,8101,1,127,0
192.168.10.217,0,0,0,0,0,0,67643,513,37186070,34550,0,122,0
192.168.10.226,0,0,0,0,0,0,49398,402,8893276,8322,2,93,0
192.168.10.229,0,0,0,0,0,0,55312,423,16555285,15426,0,93,0
192.168.10.247,0,0,0,0,0,0,68015,515,14581590,13595,1,121,0
192.168.10.248,0,0,0,0,0,0,68127,516,18198879,16944,1,121,0
localhost,319,228,864,3,1,0,497904,2079,113532136,104834,0,0,1059
control,143,110,197,0,16,0,0,0,0,0,0,0,0
