"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,39994,237,10358187,7407,0,78,0
192.168.10.120,0,0,39208,234,16645197,11854,0,79,0
192.168.10.121,0,0,39496,235,34296557,24360,0,79,0
192.168.10.126,0,0,39354,237,6902775,4953,1,80,0
192.168.10.128,0,0,39552,239,12924187,9223,0,78,0
192.168.10.137,0,0,42036,246,9294983,6646,0,78,0
192.168.10.140,0,0,39882,239,20218723,14386,0,78,0
192.168.10.152,0,0,40822,239,17335247,12342,0,80,0
192.168.10.158,0,0,38736,231,4540203,3279,1,79,0
192.168.10.161,0,0,36486,217,14921457,10628,0,80,0
192.168.10.168,0,0,38752,232,11136631,7950,0,78,0
192.168.10.217,0,0,37476,226,13947683,9939,0,78,0
192.168.10.226,0,0,37694,224,18550067,13199,0,78,0
192.168.10.247,0,0,39346,238,10133543,7243,0,78,0
localhost,192,175,354778,1886,256375452,180705,0,0,100
