"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,32826,230,46751298,31875,0,76,0
192.168.10.122,0,0,0,0,0,0,31125,217,38555502,26299,0,76,0
192.168.10.126,0,0,0,0,0,0,31675,220,38940881,26564,0,74,0
192.168.10.152,0,0,0,0,0,0,32638,227,24349268,16628,0,76,0
192.168.10.155,0,0,0,0,0,0,32313,227,44717733,30488,0,75,0
192.168.10.158,0,0,0,0,0,0,31281,221,39127474,26695,0,77,0
192.168.10.161,0,0,0,0,0,0,30810,215,35430385,24170,0,76,0
192.168.10.190,0,0,0,0,0,0,31843,222,43069716,29374,0,76,0
192.168.10.229,0,0,0,0,0,0,31196,219,51829481,35328,0,75,0
localhost,354,196,646,3,0,0,387316,1549,134203376,91525,1,0,537
control,153,146,191,1,0,0,0,0,0,0,0,0,0
