"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.122,0,0,0,0,0,0,77303,1238,247301629,175246,0,72,0
192.168.10.155,0,0,0,0,0,0,72235,1227,241536169,171164,0,72,0
192.168.10.158,0,0,0,0,0,0,33425,155,209493945,148466,0,72,0
192.168.10.168,0,0,0,0,0,0,67143,1078,204199243,144713,0,73,0
localhost,154,122,708,3,0,0,290351,732,-3499177386,556868,0,0,3198
control,132,104,104,0,0,0,0,0,0,0,0,0,0
