"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,31681,187,4526462,80727,0,83,0
192.168.10.120,0,0,33128,198,5720232,102036,0,84,0
192.168.10.121,0,0,32424,191,8013888,143003,0,84,0
192.168.10.122,0,0,32693,195,4741811,84570,0,83,0
192.168.10.126,0,0,31636,191,4456036,79465,0,85,0
192.168.10.128,0,0,33230,199,4733914,84426,0,83,0
192.168.10.137,0,0,32582,195,4505326,80342,0,84,0
192.168.10.138,0,0,33118,198,4029904,71854,0,84,0
192.168.10.140,0,0,32926,197,7188950,128267,0,83,0
192.168.10.152,0,0,32812,197,5013320,89417,0,85,0
192.168.10.155,0,0,32700,194,5719742,102036,0,83,0
192.168.10.158,0,0,31625,188,4854668,86587,0,83,0
192.168.10.161,0,0,31808,189,4763124,84949,0,84,0
192.168.10.168,0,0,32746,195,4777984,85213,0,82,0
192.168.10.190,0,0,33328,200,4856666,86616,0,84,0
192.168.10.226,0,0,32474,193,4838940,86306,0,82,0
192.168.10.229,0,0,31636,189,4647086,82879,0,84,0
192.168.10.247,0,0,32886,196,5312044,94752,0,82,0
192.168.10.248,0,0,34186,205,5280566,94189,0,85,0
localhost,208,143,456424,2430,51976778,681751,0,0,6472
