"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,38474,268,8649065,123492,3523,100,0
192.168.10.120,0,0,0,0,0,0,96638,1713,11846225,169166,5626,99,0
192.168.10.121,0,0,0,0,0,0,40420,283,6553261,93550,2547,102,0
192.168.10.122,0,0,0,0,0,0,101574,1802,8121887,115962,3920,103,0
192.168.10.126,0,0,0,0,0,0,39926,281,7102571,101400,2553,103,0
192.168.10.128,0,0,0,0,0,0,93868,1618,13727015,196035,6953,99,0
192.168.10.137,0,0,0,0,0,0,97364,1736,6860439,97939,3006,103,0
192.168.10.138,0,0,0,0,0,0,28082,193,9585,74,0,104,0
192.168.10.140,0,0,0,0,0,0,41196,288,7393115,105551,3455,100,0
192.168.10.152,0,0,0,0,0,0,92728,1622,5772875,82403,1784,100,0
192.168.10.155,0,0,0,0,0,0,99630,1811,6755035,96435,2914,103,0
192.168.10.158,0,0,0,0,0,0,38834,272,6686475,95455,2944,103,0
192.168.10.161,0,0,0,0,0,0,103642,1879,7759475,110779,2608,103,0
192.168.10.168,0,0,0,0,0,0,95956,1710,7283165,103980,2724,100,0
192.168.10.190,0,0,0,0,0,0,39968,279,5826925,83176,2450,100,0
192.168.10.217,0,0,0,0,0,0,37832,262,15930095,227507,7794,100,0
192.168.10.226,0,0,0,0,0,0,37466,259,7761371,110811,3332,100,0
192.168.10.229,0,0,0,0,0,0,97464,1728,13235111,189007,6234,100,0
192.168.10.248,0,0,0,0,0,0,40242,282,7693691,109845,3892,100,0
localhost,714,236,1815,5,651,2,342301,1328,6671388,72637,46,0,1009
control,1184,332,704,6,234,0,0,0,0,0,0,0,0
